name,resolved_if_double,ra,dec,v,b-v,spectral_type,pi,mv,d,mu,pa,rv,remarks,common_name,arabic_name
Sun,,,,-26.75,0.63,G2 V,,4.82,8,,,varies,,Sun,
alp And,,00 08.2,+29 04,2.1v,-0.11,B9p IV:(HgMn),0.032,-0.4,100,0.209,139.0,-12 SB,,Alpheratz,سرة الفرس
bet Cas,,00 09.0,+59 08,2.3v,0.34,F2 III,0.072,2.0,45,0.555,109.0,+11 SB,"var: 2.25-2.31, 0.10d",Caph,الكف الخصيب
gam Peg,,00 13.1,+15 10,2.8v,-0.23,B2 IV,0.000,-3.1,490,0.008,176.0,+4 SB,"var: 2.80-2.87, 0.15d",Algenib,الجنب
bet Hyi,,00 25.4,-77 17,2.80,0.62,G1 IV,0.159,3.8,20,2.255,82.0,+23,,,
alp Phe,,00 26.2,-42 20,2.39,1.09,K0 IIIb,0.039,0.7,62,0.442,152.0,+75 SB,,Ankaa,عنقاء
del And,A,00 39.2,+30 50,3.27,1.28,K3 III,0.028,-0.3,170,0.161,122.0,-7 SB,,,
eta Cas,,00 40.3,+56 31,2.23,1.17,K0 IIIa,0.016,-0.8,110,0.058,117.0,-4 V?,,Schedar,صدر ذات الكرسي
bet Cet,,00 43.5,-18 01,2.04,1.02,K0 III,0.061,0.3,53,0.234,81.0,+13,,Diphda,الضفدع
eta Cas,A,00 49.0,+57 48,3.44,0.57,G0 V,0.176,4.7,18,1.218,115.0,+9 SB,"B: 7.51, K4 Ve, 12""",,
gam Cas,,00 56.6,+60 42,2.5v,-0.15,B0 IVnpe(shell),0.016,-4.7,730,0.026,90.0,-7 SB,"var: 1.6 3.0; B: 8.8, 2""",,
bet Phe,AB,01 05.9,-46 44,3.31,0.89,G8 III,0.021,0.3,130,0.03,279.0,-1,"AB similar in light, spectrum, 1",,
eta Cet,,01 08.5,-10 12,3.45,1.16,K1.5 III CN1,0.041,0.1,140,0.25,122.0,+12,,,
bet And,,01 09.5,+35 36,2.06,1.58,M0 IIIa,0.049,-1.6,170,0.21,121.0,+3 V,,Mirach,مراق (تحريف مئزر)
del Cas,,01 25.6,+60 13,2.7v,0.13,A5 IV,0.037,1.4,59,0.303,99.0,+7 SB,"ecl.? 2.68-2.76, 759d",Ruchbah,ركبة
gam Phe,,01 28.3,-43 20,3.4v,1.57,K7 IIIa,0.000,-1.4,280,0.204,184.0,+26 SB,var: 3.39 3.49,Achernar,الظليم
alp Eri,,01 37.5,-57 15,0.46,-0.16,B3 Vnp (shell),0.026,-1.3,69,0.108,105.0,+16 V,,,
tau Cet,,01 44.0,-15 58,3.50,0.72,G8 V,0.287,5.8,11,1.921,296.0,-16,,,
alp Tri,,01 52.9,+29 34,3.41,0.49,F6 IV,0.057,2.6,53,0.23,177.0,-13 SB,,Metallah,
eps Cas,,01 54.1,+63 39,3.38,-0.15,B3 IV:p(shell),0.010,-2.4,440,0.036,114.0,-8 V,,Segin,
bet Ari,,01 54.5,+20 47,2.64,0.13,A4 V,0.074,1.8,44,0.145,138.0,-2 SB,,Sharatan,الشرطان
alp Hyi,,01 58.7,-61 36,2.86,0.28,F0 III-IVn,0.048,1.7,55,0.271,83.0,+1 V,,,
