# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =             129.9305 / [deg] Right Ascension                         
# DEC_TARG=            19.419215 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm44-ch-46-id-010267' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 46.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# NMAG    =             -17.1345 / [mag] AIC "white-light" instrumental magnitude
# KPMAG   =             -14.3792 / [mag] Instrumental Kepler magnitude           
# BMAG    =              12.7659 / [mag] AIC B magnitude                         
# RMAG    =              10.7019 / [mag] AIC R magnitude                         
# IMAG    =    9.998699999999999 / [mag] AIC I magnitude                         
# JMAG    =                8.746 / [mag] 2MASS J magnitude                       
# HMAG    =    8.077999999999999 / [mag] 2MASS H magnitude                       
# KMAG    =                7.902 / [mag] 2MASS K magnitude                       
# PMRA    = '             -49.00' / [mas/yr] Proper motion in R.A. direction     
# PMDE    = '            -169.30' / [mas/yr] Proper motion in Dec. direction     
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw1932' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 1.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 1.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 2-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 2-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.610703795   -13.97804539     -13.95105934     -14.33596426     -14.33740044     -14.47212288     -14.47220707      -14.49293743      -14.49301910     -14.28198230     -14.25492191        881.8084          838.4341
 2457139.631135777   -13.98172907     -13.95594692     -14.33850852     -14.33974075     -14.47244269     -14.47250748      -14.49299265      -14.49298859     -14.28748283     -14.25995827        881.8033          838.4343
 2457139.651567636   -13.97894853     -13.95697975     -14.33722639     -14.34090137     -14.47257388     -14.47281837      -14.49312151      -14.49316406     -14.28558510     -14.26179886        881.8012          838.4340
 2457139.671999621   -13.97921910     -13.96138287     -14.33776746     -14.34258080     -14.47267202     -14.47302341      -14.49321842      -14.49318790     -14.28436220     -14.26401711        881.7968          838.4337
 2457139.692431601   -13.97865295     -13.96261692     -14.33783664     -14.34362316     -14.47281747     -14.47331238      -14.49342041      -14.49339676     -14.28623148     -14.26705837        881.7949          838.4338
 2457139.712863504   -13.97820094     -13.96375561     -14.33866200     -14.34477043     -14.47290366     -14.47354507      -14.49353655      -14.49348259     -14.28868529     -14.26875877        881.7921          838.4351
 2457139.733295484   -13.97703519     -13.96421051     -14.33882824     -14.34563732     -14.47292961     -14.47370529      -14.49351485      -14.49349308     -14.28880854     -14.27027225        881.7912          838.4358
 2457139.753727808   -13.97456638     -13.95840549     -14.33828967     -14.34629917     -14.47144484     -14.47250175      -14.49316616      -14.49355221     -14.28862927     -14.27200127        881.7908          838.4385
 2457139.774159653   -13.97448423     -13.95857811     -14.33857972     -14.34654236     -14.47143940     -14.47268677      -14.49320292      -14.49364471     -14.28855088     -14.27137184        881.7911          838.4393
 2457139.794592097   -13.97931682     -13.96353245     -14.33880343     -14.34690285     -14.47303953     -14.47430134      -14.49339590      -14.49380398     -14.28837933     -14.27031898        881.7920          838.4379
 2457139.815024931   -13.97395390     -13.96024895     -14.33862093     -14.34829712     -14.47194375     -14.47346783      -14.49337945      -14.49395084     -14.28910094     -14.27456665        881.7881          838.4394
 2457139.835456872   -13.97349531     -13.96052933     -14.33801278     -14.34858513     -14.47195595     -14.47353554      -14.49335955      -14.49392796     -14.28754197     -14.27347755        881.7891          838.4383
 2457139.855888948   -13.97068802     -13.95918369     -14.33678779     -14.34776306     -14.47193070     -14.47376728      -14.49337717      -14.49406719     -14.28871637     -14.27489471        881.7874          838.4407
 2457139.876320898   -13.96992613     -13.96112537     -14.33511347     -14.34746170     -14.47219050     -14.47420025      -14.49346815      -14.49421883     -14.28740316     -14.27721500        881.7851          838.4409
