# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            129.22066 / [deg] Right Ascension                         
# DEC_TARG=            20.116201 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm44-ch-47-id-017489' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 47.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# NMAG    =             -12.9943 / [mag] AIC "white-light" instrumental magnitude
# KPMAG   =             -10.3319 / [mag] Instrumental Kepler magnitude           
# BMAG    =              17.5985 / [mag] AIC B magnitude                         
# RMAG    =              15.1195 / [mag] AIC R magnitude                         
# IMAG    =              13.6929 / [mag] AIC I magnitude                         
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw1932' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 1.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 1.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 2-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 2-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.610680923    -9.97236463      -9.97310638     -10.28159018     -10.27568626     -10.35988470     -10.35915852        0.00000000        0.00000000     -10.31548710     -10.31378555        268.3923          705.2705
 2457139.631113058    -9.97002621      -9.97138309     -10.28083017     -10.27659225     -10.36175162     -10.35935593        0.00000000        0.00000000     -10.31095306     -10.31715870        268.3857          705.2707
 2457139.651545192    -9.97314248      -9.97448921     -10.28091307     -10.27701473     -10.36272819     -10.36033440        0.00000000        0.00000000     -10.30992388     -10.31783295        268.3820          705.2709
 2457139.671977046    -9.97479641      -9.97469997     -10.28011499     -10.27640820     -10.36151435     -10.35932064        0.00000000        0.00000000     -10.31115330     -10.31810284        268.3773          705.2695
 2457139.692409121    -9.97191234      -9.97137451     -10.28077802     -10.27660465     -10.36152490     -10.35948753        0.00000000        0.00000000     -10.31026743     -10.31718731        268.3740          705.2671
 2457139.712841064    -9.96593465      -9.96629429     -10.27999511     -10.27593803     -10.36087317     -10.35908890        0.00000000        0.00000000     -10.30863596     -10.31576633        268.3714          705.2641
 2457139.733273229    -9.96760267      -9.96728706     -10.28119283     -10.27787781     -10.36253539     -10.36081409        0.00000000        0.00000000     -10.30839571     -10.31723595        268.3688          705.2636
 2457139.753704993    -9.96813155      -9.96718502     -10.27980152     -10.27679443     -10.36186237     -10.35959053        0.00000000        0.00000000     -10.31065779     -10.31809711        268.3681          705.2608
 2457139.774137084    -9.96598883      -9.96402740     -10.28007289     -10.27726269     -10.36176732     -10.35964394        0.00000000        0.00000000     -10.30942700     -10.31775570        268.3685          705.2571
 2457139.794569227    -9.96595327      -9.96374893     -10.28112418     -10.27815723     -10.36345025     -10.36131859        0.00000000        0.00000000     -10.30966975     -10.31793976        268.3687          705.2573
 2457139.815001231    -9.96425167      -9.96119976     -10.27995856     -10.27765656     -10.36271077     -10.36037064        0.00000000        0.00000000     -10.30841860     -10.31682587        268.3642          705.2565
 2457139.835433371    -9.96515196      -9.96179008     -10.28095014     -10.27838612     -10.36378475     -10.36152744        0.00000000        0.00000000     -10.31063398     -10.31951904        268.3643          705.2539
 2457139.855865623    -9.96299140      -9.95919132     -10.28052365     -10.27788162     -10.36260396     -10.36038494        0.00000000        0.00000000     -10.31066190     -10.31936073        268.3632          705.2512
 2457139.876297563    -9.96933275      -9.96474552     -10.28015642     -10.27779388     -10.36260707     -10.36028671        0.00000000        0.00000000     -10.30947652     -10.31862450        268.3599          705.2501
 2457139.896729521    -9.96555517      -9.96023941     -10.28023139     -10.27791500     -10.36322790     -10.36067867        0.00000000        0.00000000     -10.31070838     -10.31942368        268.3545          705.2540
 2457139.917161758    -9.96523431      -9.96056747     -10.28049792     -10.27788544     -10.36345511     -10.36078835        0.00000000        0.00000000     -10.31104731     -10.32058144        268.3501          705.2514
 2457139.937593729    -9.96600709      -9.95944500     -10.27993454     -10.27741623     -10.36339146     -10.36060715        0.00000000        0.00000000     -10.31062142     -10.31944752        268.3435          705.2497
 2457139.958026391    -9.96635470      -9.95896530     -10.28050115     -10.27692604     -10.36270481     -10.35973454        0.00000000        0.00000000     -10.31060879     -10.31845474        268.3393          705.2498
 2457139.978458338    -9.96675838      -9.95871162     -10.28064006     -10.27723217     -10.36357340     -10.36058998        0.00000000        0.00000000     -10.30925363     -10.31735325        268.3396          705.2482
 2457139.998890311    -9.96455940      -9.95652008     -10.28041764     -10.27724457     -10.36292067     -10.35983467        0.00000000        0.00000000     -10.30969763     -10.31797791        268.3352          705.2478
 2457140.019322228    -9.96378572      -9.95614147     -10.28071993     -10.27762222     -10.36313509     -10.36002350        0.00000000        0.00000000     -10.30870908     -10.31822205        268.3360          705.2474
 2457140.039755195    -9.96486222      -9.95681000     -10.28063535     -10.27783871     -10.36394056     -10.36074543        0.00000000        0.00000000     -10.30989597     -10.31992340        268.3369          705.2460
 2457140.060187230    -9.96350729      -9.95504570     -10.27851363     -10.27573586     -10.36439139     -10.36125088        0.00000000        0.00000000     -10.30799765     -10.31756783        268.3335          705.2450
 2457140.080619130    -9.95898430      -9.94911957     -10.27937358     -10.27636147     -10.36544665     -10.36237144        0.00000000        0.00000000     -10.31171405     -10.31968975        268.3264          705.2440
 2457140.101051154    -9.95986283      -9.94939995     -10.27876278     -10.27552795     -10.36419024     -10.36125565        0.00000000        0.00000000     -10.31479095     -10.32113838        268.3162          705.2469
 2457140.121483180    -9.95891464      -9.94914722     -10.27769059     -10.27457714     -10.36340367     -10.36043167        0.00000000        0.00000000     -10.31335318     -10.31957626        268.3094          705.2491
 2457140.141915374    -9.96151175      -9.95044231     -10.27847226     -10.27570248     -10.36513908     -10.36207294        0.00000000        0.00000000     -10.31132011     -10.31735229        268.3060          705.2481
 2457140.162347321    -9.96220171      -9.95112419     -10.27784714     -10.27503109     -10.36440982     -10.36129951        0.00000000        0.00000000     -10.31647555     -10.32087231        268.3013          705.2464
 2457140.182779642    -9.95546826      -9.94548321     -10.27788144     -10.27466774     -10.36416960     -10.36090946        0.00000000        0.00000000     -10.31911161     -10.32203579        268.2940          705.2505
 2457140.203211631    -9.96419150      -9.95412922     -10.27748517     -10.27470493     -10.36387018     -10.36045933        0.00000000        0.00000000     -10.31994858     -10.32094193        268.2864          705.2523
 2457140.223643461    -9.96165911      -9.95089340     -10.27783386     -10.27512646     -10.36484212     -10.36164188        0.00000000        0.00000000     -10.31742039     -10.31786346        268.2745          705.2530
 2457140.244075462    -9.96030066      -9.94977856     -10.27924014     -10.27606583     -10.36483227     -10.36164665        0.00000000        0.00000000     -10.31838536     -10.31775665        268.2659          705.2561
 2457140.264507528    -9.96727926      -9.95482254     -10.27890406     -10.27504444     -10.36364699     -10.36034966        0.00000000        0.00000000     -10.31313076     -10.31369209        268.2508          705.2567
 2457140.284939487    -9.96628394      -9.95175457     -10.27944560     -10.27464771     -10.36470770     -10.36092949        0.00000000        0.00000000     -10.31078980     -10.31346703        268.2408          705.2619
 2457140.305371577    -9.96344183      -9.94971371     -10.27963100     -10.27490711     -10.36426815     -10.36059380        0.00000000        0.00000000     -10.31195529     -10.31281281        268.2321          705.2638
 2457140.325803548    -9.96383671      -9.94852638     -10.27901573     -10.27385616     -10.36440886     -10.36072731        0.00000000        0.00000000     -10.31277834     -10.31390190        268.2315          705.2625
 2457140.346235504    -9.96351491      -9.94717407     -10.27933676     -10.27376652     -10.36392313     -10.36035728        0.00000000        0.00000000     -10.31199624     -10.31320763        268.2333          705.2597
 2457140.366667722    -9.96450868      -9.94783306     -10.27930285     -10.27401066     -10.36467839     -10.36095524        0.00000000        0.00000000     -10.31397578     -10.31509972        268.2316          705.2620
 2457140.387099801    -9.96233673      -9.94674206     -10.27885609     -10.27400589     -10.36537341     -10.36171150        0.00000000        0.00000000     -10.31742900     -10.31536198        268.2256          705.2643
 2457140.407531746    -9.96454407      -9.94984341     -10.27880178     -10.27422810     -10.36460721     -10.36120796        0.00000000        0.00000000     -10.31551604     -10.31115532        268.2164          705.2641
 2457140.427963891    -9.96891357      -9.95459843     -10.27713252     -10.27238655     -10.36434163     -10.36097145        0.00000000        0.00000000     -10.31665749     -10.30829620        268.2066          705.2656
 2457140.448396082    -9.96674942      -9.95360565     -10.27666168     -10.27264595     -10.36564014     -10.36207962        0.00000000        0.00000000     -10.31746638     -10.30559921        268.1963          705.2684
 2457140.468827990    -9.96354566      -9.95031166     -10.27930694     -10.27432346     -10.36640066     -10.36244488        0.00000000        0.00000000     -10.31867309     -10.30217743        268.1859          705.2724
 2457140.489260071    -9.96427976      -9.95198154     -10.27719916     -10.27274990     -10.36478621     -10.36036015        0.00000000        0.00000000     -10.31757974     -10.30017471        268.1755          705.2751
 2457140.509692561    -9.96495865      -9.95187855     -10.27786243     -10.27301884     -10.36622874     -10.36145020        0.00000000        0.00000000     -10.31521406     -10.29611111        268.1654          705.2758
