# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =              131.458 / [deg] Right Ascension                         
# DEC_TARG=             20.02259 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm44-ch-48-id-024172' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 48.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =             -14.8562 / [mag] Instrumental Kepler magnitude           
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw1932' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 1.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 1.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 2-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 2-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.610760651   -14.39211899     -14.38887119     -15.21569996     -15.18789482     -15.73021889     -15.71188736      -16.05445468      -16.02632141     -14.73019955     -14.77960777         52.3005          755.7771
 2457139.631193046   -14.39608542     -14.39162636     -15.21444963     -15.18644428     -15.72867067     -15.70981598      -16.05320805      -16.02488136     -14.73629696     -14.78485680         52.3057          755.7746
 2457139.651625135   -14.39770206     -14.39148808     -15.21418707     -15.18443966     -15.73265327     -15.71244717      -16.05342503      -16.02476692     -14.73451930     -14.78833771         52.3096          755.7719
 2457139.672057125   -14.39549290     -14.38820648     -15.21339285     -15.18294716     -15.73280400     -15.71276474      -16.05294854      -16.02392578     -14.74073540     -14.79688263         52.3133          755.7684
 2457139.692489238   -14.39096662     -14.38465881     -15.20939714     -15.18128490     -15.73052219     -15.71181679      -16.05247218      -16.02492905     -14.74793960     -14.80549622         52.3143          755.7637
 2457139.712921108   -14.38689826     -14.38103771     -15.21306372     -15.18285656     -15.73021784     -15.71082592      -16.05253768      -16.02515793     -14.74495902     -14.80811691         52.3164          755.7630
 2457139.733353201   -14.38993160     -14.38102913     -15.21430046     -15.18268204     -15.73354729     -15.71272087      -16.05373962      -16.02529144     -14.74353722     -14.80800152         52.3177          755.7616
 2457139.753785111   -14.38794781     -14.37767601     -15.20990575     -15.17658424     -15.73228278     -15.71049309      -16.05350691      -16.02416992     -14.73937020     -14.81466293         52.3182          755.7557
 2457139.774217227   -14.38761172     -14.37800217     -15.20930882     -15.17751312     -15.72915402     -15.70818901      -16.05188896      -16.02288437     -14.75158090     -14.82119751         52.3167          755.7529
 2457139.794649547   -14.38312288     -14.37463284     -15.20873213     -15.17822266     -15.72727457     -15.70721054      -16.05059032      -16.02290726     -14.75398721     -14.82107639         52.3155          755.7513
 2457139.815081561   -14.38430908     -14.37518692     -15.20909933     -15.17761230     -15.72876521     -15.70816135      -16.05098154      -16.02262878     -14.74694595     -14.82055092         52.3179          755.7490
 2457139.835513837   -14.38435721     -14.37537003     -15.20820227     -15.17695522     -15.73091936     -15.71051216      -16.05270362      -16.02361298     -14.75223140     -14.82556534         52.3187          755.7488
 2457139.855946100   -14.38521527     -14.37556171     -15.20703323     -15.17595768     -15.73090422     -15.71019936      -16.05208302      -16.02334213     -14.75090272     -14.82809639         52.3190          755.7462
 2457139.876378182   -14.38386424     -14.37527752     -15.20882180     -15.17665672     -15.73252401     -15.71223831      -16.05201970      -16.02451515     -14.75493929     -14.83268547         52.3210          755.7451
 2457139.896810570   -14.38778252     -14.37835121     -15.21292030     -15.17937660     -15.73419010     -15.71330833      -16.05400853      -16.02673340     -14.75071556     -14.84026146         52.3254          755.7421
 2457139.917242612   -14.38736653     -14.37865162     -15.21215686     -15.18039131     -15.73360602     -15.71356678      -16.05326900      -16.02788734     -14.75434815     -14.84327221         52.3281          755.7380
 2457139.937674613   -14.39169520     -14.38256359     -15.21482114     -15.18358994     -15.73305258     -15.71271133      -16.05696561      -16.03136826     -14.75390426     -14.85046959         52.3349          755.7323
 2457139.958107208   -14.39209180     -14.38242435     -15.21312734     -15.18204880     -15.73460253     -15.71428299      -16.05793083      -16.03225899     -14.75648434     -14.85679626         52.3371          755.7312
 2457139.978539307   -14.39175419     -14.38248444     -15.21298954     -15.18238831     -15.73420168     -15.71477795      -16.05711650      -16.03352737     -14.75864608     -14.85772514         52.3374          755.7304
 2457139.998971344   -14.39119950     -14.38242149     -15.21231861     -15.18242073     -15.73556293     -15.71622276      -16.05819376      -16.03417206     -14.76337745     -14.86001873         52.3373          755.7293
 2457140.019403311   -14.38848672     -14.37913132     -15.21258506     -15.18310452     -15.73789627     -15.71883392      -16.05748514      -16.03392792     -14.76058122     -14.86306381         52.3381          755.7275
 2457140.039835325   -14.39201462     -14.38284683     -15.21386690     -15.18376255     -15.73745793     -15.71847439      -16.05657166      -16.03279495     -14.75885934     -14.86388111         52.3355          755.7259
 2457140.060267273   -14.38789777     -14.37928009     -15.21334385     -15.18371677     -15.73785984     -15.71999073      -16.05573057      -16.03362846     -14.76304512     -14.86713409         52.3373          755.7236
 2457140.080699549   -14.38675676     -14.37958622     -15.21252975     -15.18290043     -15.73545641     -15.71834755      -16.05669090      -16.03434753     -14.76426815     -14.87805748         52.3456          755.7182
 2457140.101131565   -14.38486868     -14.38148880     -15.21322589     -15.18322468     -15.73570446     -15.71998978      -16.05776471      -16.03679848     -14.76725871     -14.88436604         52.3537          755.7156
 2457140.121563618   -14.38272288     -14.38104153     -15.21610922     -15.18495083     -15.73413396     -15.71883297      -16.05747548      -16.03674316     -14.76162575     -14.89030361         52.3588          755.7122
 2457140.141995864   -14.39499040     -14.39506149     -15.21371747     -15.18633842     -15.73289162     -15.71895504      -16.05577439      -16.03699875     -14.77229410     -14.89513397         52.3626          755.7081
 2457140.162428128   -14.39755566     -14.39818382     -15.21216626     -15.18333530     -15.73578639     -15.72078228      -16.05688641      -16.03755188     -14.76867615     -14.89566422         52.3676          755.7051
 2457140.182860177   -14.39348788     -14.39432240     -15.21305655     -15.18331146     -15.73489276     -15.71896458      -16.05844550      -16.03825951     -14.76371188     -14.89460945         52.3707          755.7027
 2457140.203292188   -14.38774001     -14.39038658     -15.21355641     -15.18476391     -15.73376785     -15.71825504      -16.05766726      -16.03874588     -14.76683209     -14.89395142         52.3764          755.7003
 2457140.223724115   -14.38572977     -14.39066124     -15.21113432     -15.18274403     -15.73401385     -15.71939564      -16.05537078      -16.03919601     -14.76515009     -14.89274979         52.3886          755.6973
 2457140.244156165   -14.38698366     -14.39361382     -15.21464525     -15.18544769     -15.73484050     -15.72056580      -16.05574932      -16.04110336     -14.76071015     -14.89268303         52.3983          755.6916
 2457140.264588142   -14.39122534     -14.40353394     -15.21151026     -15.18190575     -15.73330171     -15.71925640      -16.05561394      -16.04154205     -14.76188243     -14.89236641         52.4129          755.6877
