# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            132.74837 / [deg] Right Ascension                         
# DEC_TARG=            11.513654 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-13-id-000139' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 13.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =             15.74194 / [mag] Instrumental Kepler magnitude           
# BMAG    =              19.0119 / [mag] AIC B magnitude                         
# VMAG    =               17.141 / [mag] AIC V magnitude                         
# RMAG    =              16.3045 / [mag] AIC R magnitude                         
# IMAG    =              14.0567 / [mag] AIC I magnitude                         
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517    -9.07974215      -9.13944626      -9.61881067      -9.62116623      -9.58235543      -9.61028194        0.00000000       -0.00000000      -9.55935615      -9.64221287        916.4193          667.9886
 2457139.631459933    -9.07349687      -9.13353252      -9.61748061      -9.61983871      -9.58255178      -9.61047363        0.00000000       -0.00000000      -9.56378650      -9.64638901        916.4262          667.9874
 2457139.651894818    -9.07341997      -9.13070583      -9.61644946      -9.61880112      -9.57871209      -9.60761261        0.00000000       -0.00000000      -9.57616490      -9.65594864        916.4347          667.9848
 2457139.672323064    -9.06313463      -9.12302113      -9.62086738      -9.62268639      -9.58278556      -9.61210060        0.00000000       -0.00000000      -9.57294739      -9.65777111        916.4406          667.9824
 2457139.692750918    -9.06254499      -9.11876965      -9.61572028      -9.61738586      -9.58281163      -9.61237717        0.00000000       -0.00000000      -9.57090423      -9.65782261        916.4468          667.9819
 2457139.713188042    -9.06648206      -9.11988926      -9.61601678      -9.61762142      -9.58190486      -9.61144257        0.00000000       -0.00000000      -9.57432002      -9.65897942        916.4491          667.9798
 2457139.733623339    -9.06688934      -9.11893177      -9.61930443      -9.62056160      -9.58291953      -9.61230373        0.00000000       -0.00000000      -9.57760188      -9.66111660        916.4497          667.9813
 2457139.754052053    -9.06908581      -9.11984158      -9.61653023      -9.61761093      -9.58165774      -9.61039734        0.00000000       -0.00000000      -9.57888856      -9.66182137        916.4510          667.9800
 2457139.774479524    -9.06647683      -9.11586761      -9.61813753      -9.61903191      -9.58092221      -9.61026287        0.00000000       -0.00000000      -9.57871651      -9.66317940        916.4495          667.9819
 2457139.794915574    -9.06749805      -9.11550045      -9.61905444      -9.61958504      -9.58122460      -9.61168861        0.00000000       -0.00000000      -9.58131241      -9.66386414        916.4538          667.9826
 2457139.815352092    -9.07032134      -9.11441994      -9.62007654      -9.62067318      -9.58209543      -9.61147976        0.00000000       -0.00000000      -9.58069784      -9.66389465        916.4574          667.9827
 2457139.835781973    -9.07341661      -9.11541557      -9.61568291      -9.61617470      -9.57999756      -9.61014843        0.00000000       -0.00000000      -9.57834439      -9.66413212        916.4611          667.9827
