# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            132.66479 / [deg] Right Ascension                         
# DEC_TARG=            12.042517 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-13-id-002388' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 13.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =             13.79191 / [mag] Instrumental Kepler magnitude           
# BMAG    =              16.1894 / [mag] AIC B magnitude                         
# VMAG    =              14.6558 / [mag] AIC V magnitude                         
# RMAG    =              13.9741 / [mag] AIC R magnitude                         
# IMAG    =               12.535 / [mag] AIC I magnitude                         
# JMAG    =               11.063 / [mag] 2MASS J magnitude                       
# HMAG    =               10.505 / [mag] 2MASS H magnitude                       
# KMAG    =               10.267 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517   -11.00645191     -11.04018211     -11.55712479     -11.56109333     -11.60078024     -11.60982323       -0.00000000       -0.00000000     -11.52788418     -11.54127979        829.0828          191.4045
 2457139.631459933   -11.00214242     -11.03732204     -11.55605882     -11.56056213     -11.60137753     -11.60866833       -0.00000000       -0.00000000     -11.52974305     -11.54325867        829.0881          191.4018
 2457139.651894818   -11.00818823     -11.04174614     -11.55586473     -11.55989456     -11.59791941     -11.60556889       -0.00000000       -0.00000000     -11.53402645     -11.54801464        829.0959          191.4060
 2457139.672323064   -11.00686784     -11.04013634     -11.55569775     -11.55901527     -11.59747254     -11.60414505       -0.00000000       -0.00000000     -11.53348756     -11.54927731        829.0996          191.4031
 2457139.692750918   -11.00448645     -11.03804684     -11.55551549     -11.55877304     -11.59701848     -11.60432053       -0.00000000       -0.00000000     -11.53103029     -11.55119419        829.1064          191.4009
 2457139.713188042   -11.00538826     -11.03662109     -11.55603384     -11.55869293     -11.59757625     -11.60402393       -0.00000000       -0.00000000     -11.53670260     -11.55265713        829.1087          191.3987
 2457139.733623339   -11.00420884     -11.03479862     -11.55640167     -11.55873775     -11.59769862     -11.60402107       -0.00000000       -0.00000000     -11.53760398     -11.55502892        829.1094          191.3994
 2457139.754052053   -11.00438471     -11.03290176     -11.55655511     -11.55827713     -11.59766756     -11.60322285       -0.00000000       -0.00000000     -11.54081044     -11.55663013        829.1110          191.3981
 2457139.774479524   -11.00589774     -11.03276062     -11.55657210     -11.55816174     -11.59714435     -11.60238075       -0.00000000       -0.00000000     -11.54063861     -11.55775452        829.1092          191.4000
 2457139.794915574   -11.00637923     -11.03320980     -11.55628307     -11.55741215     -11.59895371     -11.60251999       -0.00000000       -0.00000000     -11.54307791     -11.55960178        829.1134          191.4001
 2457139.815352092   -11.00819255     -11.03480911     -11.55563144     -11.55671501     -11.59769529     -11.60150433       -0.00000000       -0.00000000     -11.53934751     -11.55989552        829.1151          191.3994
 2457139.835781973   -11.00955117     -11.03418446     -11.55537038     -11.55639648     -11.59657955     -11.60030270       -0.00000000       -0.00000000     -11.53769032     -11.56096935        829.1181          191.3986
 2457139.856209013   -11.01234683     -11.03548145     -11.55608896     -11.55598640     -11.59806159     -11.60068989       -0.00000000       -0.00000000     -11.53912164     -11.56043434        829.1192          191.3966
