# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            132.47366 / [deg] Right Ascension                         
# DEC_TARG=            12.186082 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-13-id-006929' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 13.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              12.4845 / [mag] Instrumental Kepler magnitude           
# JMAG    =    9.744999999999999 / [mag] 2MASS J magnitude                       
# HMAG    =                9.148 / [mag] 2MASS H magnitude                       
# KMAG    =    8.949999999999999 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517   -12.57505554     -12.62384892     -13.11432972     -13.11244965     -13.15043980     -13.14694023        0.00000000       -0.00000000     -13.10408595     -13.13752651        656.4519           66.0693
 2457139.631459933   -12.58448242     -12.63159657     -13.11357609     -13.11163044     -13.15028924     -13.14670181        0.00000000       -0.00000000     -13.10541905     -13.13916016        656.4578           66.0664
 2457139.651894818   -12.56946868     -12.62178421     -13.11289020     -13.11111069     -13.14950891     -13.14650154        0.00000000       -0.00000000     -13.10976083     -13.14123535        656.4651           66.0652
 2457139.672323064   -12.57234603     -12.62225723     -13.11305801     -13.11073399     -13.14959231     -13.14631271        0.00000000       -0.00000000     -13.11080943     -13.14272785        656.4698           66.0635
 2457139.692750918   -12.57130922     -12.61710548     -13.11319418     -13.11011410     -13.15001953     -13.14615726        0.00000000       -0.00000000     -13.11024810     -13.14422989        656.4759           66.0599
 2457139.713188042   -12.56877658     -12.61283875     -13.11242022     -13.10942650     -13.14939817     -13.14585495        0.00000000       -0.00000000     -13.11294656     -13.14560127        656.4776           66.0560
 2457139.733623339   -12.56869487     -12.61109161     -13.11252533     -13.10924530     -13.14950709     -13.14586163        0.00000000       -0.00000000     -13.11538591     -13.14711761        656.4774           66.0571
 2457139.754052053   -12.56857349     -12.61035347     -13.11280633     -13.10909653     -13.14947789     -13.14566708        0.00000000       -0.00000000     -13.11722512     -13.14882851        656.4802           66.0571
 2457139.774479524   -12.56742695     -12.60776901     -13.11256025     -13.10857010     -13.14926714     -13.14542007        0.00000000       -0.00000000     -13.11653154     -13.14955711        656.4772           66.0571
 2457139.794915574   -12.56767725     -12.60637379     -13.11245816     -13.10830116     -13.14925210     -13.14544582        0.00000000       -0.00000000     -13.11968171     -13.15065193        656.4808           66.0578
 2457139.815352092   -12.56884555     -12.60438824     -13.11212767     -13.10760689     -13.14934763     -13.14530754        0.00000000       -0.00000000     -13.11985524     -13.15112114        656.4838           66.0562
 2457139.835781973   -12.56834491     -12.60201550     -13.11226768     -13.10761070     -13.14919588     -13.14515877        0.00000000       -0.00000000     -13.11869500     -13.15244198        656.4863           66.0555
 2457139.856209013   -12.57475682     -12.60488415     -13.11248465     -13.10703468     -13.14942726     -13.14493561        0.00000000       -0.00000000     -13.11407805     -13.15272808        656.4882           66.0549
 2457139.876643459   -12.57408455     -12.60248947     -13.11248568     -13.10646534     -13.14974332     -13.14481163        0.00000000       -0.00000000     -13.11367251     -13.15318203        656.4908           66.0531
 2457139.897080259   -12.57741927     -12.60240078     -13.11243465     -13.10615540     -13.14947912     -13.14452362        0.00000000       -0.00000000     -13.11433364     -13.15361404        656.4966           66.0517
 2457139.917512512   -12.57540640     -12.59580421     -13.11234629     -13.10568619     -13.14945958     -13.14431953        0.00000000       -0.00000000     -13.11502824     -13.15326691        656.5036           66.0489
 2457139.937939680   -12.57068141     -12.58771133     -13.11248689     -13.10525703     -13.14958513     -13.14405632        0.00000000       -0.00000000     -13.11356108     -13.15202808        656.5130           66.0433
 2457139.958371695   -12.57165846     -12.58475780     -13.11203726     -13.10462856     -13.14950854     -13.14406204        0.00000000       -0.00000000     -13.11216462     -13.15047646        656.5188           66.0435
 2457139.978808955   -12.57161934     -12.58325768     -13.11210031     -13.10428047     -13.14966915     -13.14398384        0.00000000       -0.00000000     -13.11249076     -13.15040207        656.5182           66.0440
 2457139.999241522   -12.56738384     -12.57675648     -13.11247352     -13.10442924     -13.14972358     -13.14394951        0.00000000       -0.00000000     -13.11267367     -13.15024471        656.5188           66.0472
