# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            132.20689 / [deg] Right Ascension                         
# DEC_TARG=            12.129955 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-13-id-006997' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 13.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              12.7273 / [mag] Instrumental Kepler magnitude           
# JMAG    =               10.163 / [mag] 2MASS J magnitude                       
# HMAG    =                9.552 / [mag] 2MASS H magnitude                       
# KMAG    =                9.352 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517   -12.37518159     -12.33429527     -12.91274391     -12.92045689     -12.94878827     -12.95580292        0.00000000       -0.00000000     -12.89673119     -12.89374352        421.8422          123.0458
 2457139.631459933   -12.37033566     -12.32894516     -12.91236443     -12.92020035     -12.94849014     -12.95569420        0.00000000       -0.00000000     -12.89564684     -12.89175606        421.8480          123.0438
 2457139.651894818   -12.37193893     -12.32772827     -12.91201839     -12.91954613     -12.94809505     -12.95537758        0.00000000       -0.00000000     -12.89589286     -12.89013672        421.8549          123.0427
 2457139.672323064   -12.37429230     -12.32662201     -12.91230484     -12.91953945     -12.94821835     -12.95553207        0.00000000       -0.00000000     -12.89843309     -12.88918018        421.8596          123.0413
 2457139.692750918   -12.37024819     -12.32060623     -12.91262245     -12.91942978     -12.94823958     -12.95535278        0.00000000       -0.00000000     -12.89576536     -12.88663673        421.8659          123.0379
 2457139.713188042   -12.36946628     -12.32023239     -12.91227381     -12.91914845     -12.94753260     -12.95497322        0.00000000       -0.00000000     -12.90127068     -12.88682938        421.8676          123.0335
 2457139.733623339   -12.36745677     -12.31625748     -12.91219149     -12.91854000     -12.94797914     -12.95507526        0.00000000       -0.00000000     -12.90399656     -12.88875961        421.8667          123.0345
 2457139.754052053   -12.37130618     -12.31721401     -12.91317054     -12.91886425     -12.94857581     -12.95527554        0.00000000       -0.00000000     -12.90303861     -12.88663864        421.8701          123.0359
 2457139.774479524   -12.36730295     -12.31178474     -12.91240654     -12.91812420     -12.94800151     -12.95499039        0.00000000       -0.00000000     -12.90439339     -12.88871384        421.8667          123.0356
 2457139.794915574   -12.37128578     -12.31255436     -12.91295448     -12.91789532     -12.94849263     -12.95487499        0.00000000       -0.00000000     -12.90705103     -12.88788700        421.8702          123.0370
 2457139.815352092   -12.36894710     -12.30879974     -12.91305118     -12.91765976     -12.94859709     -12.95475864        0.00000000       -0.00000000     -12.90396667     -12.88655090        421.8730          123.0359
 2457139.835781973   -12.37289436     -12.31201172     -12.91289185     -12.91734886     -12.94863813     -12.95474529        0.00000000       -0.00000000     -12.90226226     -12.88704014        421.8755          123.0337
 2457139.856209013   -12.37358093     -12.31007671     -12.91306445     -12.91698074     -12.94897937     -12.95476437        0.00000000       -0.00000000     -12.90508251     -12.88569450        421.8773          123.0333
 2457139.876643459   -12.37458346     -12.30799866     -12.91324493     -12.91676140     -12.94906237     -12.95458031        0.00000000       -0.00000000     -12.90300192     -12.88467789        421.8791          123.0326
 2457139.897080259   -12.37603495     -12.30729580     -12.91341077     -12.91646099     -12.94928507     -12.95448875        0.00000000       -0.00000000     -12.90033707     -12.88112259        421.8853          123.0326
 2457139.917512512   -12.37444238     -12.30708599     -12.91294120     -12.91599369     -12.94888995     -12.95424843        0.00000000       -0.00000000     -12.90000616     -12.87686825        421.8928          123.0305
 2457139.937939680   -12.37365196     -12.30288315     -12.91296422     -12.91545677     -12.94919986     -12.95420456        0.00000000       -0.00000000     -12.90171528     -12.87261105        421.9023          123.0245
 2457139.958371695   -12.37472599     -12.30309486     -12.91329244     -12.91552162     -12.94910500     -12.95401382        0.00000000       -0.00000000     -12.89513510     -12.86699104        421.9080          123.0261
 2457139.978808955   -12.37482371     -12.30141163     -12.91317936     -12.91489124     -12.94948613     -12.95405293        0.00000000       -0.00000000     -12.89649462     -12.86711788        421.9068          123.0262
 2457139.999241522   -12.37427482     -12.29986763     -12.91350808     -12.91488457     -12.94965814     -12.95403481        0.00000000       -0.00000000     -12.89525722     -12.86651230        421.9069          123.0315
 2457140.019669396   -12.37399748     -12.29822636     -12.91355952     -12.91476059     -12.94958857     -12.95395279        0.00000000       -0.00000000     -12.89245405     -12.86441708        421.9093          123.0318
 2457140.040099204   -12.37224380     -12.29484177     -12.91582254     -12.91678524     -12.95214582     -12.95642757        0.00000000       -0.00000000     -12.89340535     -12.86445045        421.9099          123.0306
 2457140.060536831   -12.37324769     -12.29308510     -12.91406958     -12.91407204     -12.95032802     -12.95394802        0.00000000       -0.00000000     -12.89623787     -12.86154842        421.9116          123.0316
 2457140.080971279   -12.37155391     -12.29073715     -12.91377052     -12.91397667     -12.94997276     -12.95368576        0.00000000       -0.00000000     -12.89517689     -12.85964775        421.9179          123.0243
 2457140.101399296   -12.37461032     -12.28910923     -12.91337320     -12.91353321     -12.94965409     -12.95345402        0.00000000       -0.00000000     -12.89140837     -12.85342407        421.9295          123.0238
 2457140.121827376   -12.37167175     -12.28183270     -12.91353410     -12.91324139     -12.94993492     -12.95334911        0.00000000       -0.00000000     -12.89620167     -12.84963131        421.9420          123.0106
 2457140.142265015   -12.36875500     -12.27844334     -12.91356327     -12.91285610     -12.95018733     -12.95325375        0.00000000       -0.00000000     -12.89757651     -12.84610844        421.9483          123.0065
 2457140.162699774   -12.37171044     -12.28146553     -12.91303401     -12.91241169     -12.95005750     -12.95325375        0.00000000       -0.00000000     -12.89475751     -12.84396935        421.9524          123.0026
 2457140.183128397   -12.37695913     -12.28832436     -12.91372934     -12.91271687     -12.95069011     -12.95348358        0.00000000       -0.00000000     -12.89459729     -12.84005070        421.9643          123.0016
