# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            133.95967 / [deg] Right Ascension                         
# DEC_TARG=             11.46351 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-14-id-007058' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 14.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              15.9174 / [mag] Instrumental Kepler magnitude           
# JMAG    =               13.008 / [mag] 2MASS J magnitude                       
# HMAG    =               12.449 / [mag] 2MASS H magnitude                       
# KMAG    =               12.174 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517    -8.71180922      -8.72575188      -9.33305976      -9.33754539      -9.31475028      -9.35652065        0.00000000       -0.00000000      -9.23203463      -9.23889446        233.3319          681.2221
 2457139.631459933    -8.70793101      -8.72188854      -9.33116563      -9.33565521      -9.31174213      -9.35360146        0.00000000       -0.00000000      -9.22865179      -9.23556519        233.3235          681.2185
 2457139.651894818    -8.70722864      -8.71811867      -9.33872863      -9.34313011      -9.32374709      -9.36260605        0.00000000       -0.00000000      -9.22650293      -9.23271656        233.3159          681.2170
 2457139.672323064    -8.71568292      -8.71754742      -9.33969304      -9.34153652      -9.31719998      -9.35464478        0.00000000       -0.00000000      -9.22386193      -9.23326969        233.3088          681.2152
 2457139.692750918    -8.71163035      -8.71040535      -9.33974517      -9.34161663      -9.31979930      -9.35743332        0.00000000       -0.00000000      -9.22699372      -9.23216438        233.3012          681.2090
 2457139.713188042    -8.70899862      -8.70650387      -9.33690616      -9.33919048      -9.31506974      -9.35374451        0.00000000       -0.00000000      -9.22741883      -9.23142338        233.2982          681.2082
 2457139.733623339    -8.70530698      -8.70061779      -9.33899343      -9.34084702      -9.31620962      -9.35500717        0.00000000       -0.00000000      -9.23077026      -9.23453712        233.2978          681.2112
 2457139.754052053    -8.70362719      -8.69777775      -9.33693706      -9.33857155      -9.31431366      -9.35156631        0.00000000       -0.00000000      -9.22697035      -9.23349571        233.2954          681.2108
 2457139.774479524    -8.70389589      -8.69602489      -9.33526081      -9.33673286      -9.31251153      -9.35204124        0.00000000       -0.00000000      -9.22785155      -9.23669243        233.2960          681.2103
 2457139.794915574    -8.70916592      -8.69832420      -9.33250853      -9.33386898      -9.31565268      -9.35467720        0.00000000       -0.00000000      -9.23078939      -9.23680973        233.2924          681.2138
 2457139.815352092    -8.71048616      -8.69754601      -9.33741572      -9.33887100      -9.31101784      -9.35072899        0.00000000       -0.00000000      -9.23351204      -9.23672771        233.2888          681.2125
 2457139.835781973    -8.71064573      -8.68974304      -9.32393051      -9.32984161      -9.31485321      -9.34908676        0.00000000       -0.00000000      -9.22553835      -9.23580933        233.2843          681.2130
