# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            133.86823 / [deg] Right Ascension                         
# DEC_TARG=            11.075226 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-14-id-007171' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 14.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              12.1862 / [mag] Instrumental Kepler magnitude           
# JMAG    =    9.962999999999999 / [mag] 2MASS J magnitude                       
# HMAG    =    9.343999999999999 / [mag] 2MASS H magnitude                       
# KMAG    =                9.131 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517   -12.57398743     -12.56304359     -13.09823685     -13.10298920     -13.13251932     -13.13432217      -13.14135576      -13.14316177     -13.10213228     -13.08143997        303.2885         1035.1406
 2457139.631459933   -12.58093013     -12.56251240     -13.09737254     -13.10246658     -13.13206329     -13.13423538      -13.14085016      -13.14305687     -13.10123629     -13.08137989        303.2795         1035.1386
 2457139.651894818   -12.57503958     -12.55672264     -13.09821953     -13.10231590     -13.13280011     -13.13421154      -13.14168441      -13.14308739     -13.10063668     -13.08032799        303.2708         1035.1375
 2457139.672323064   -12.57002097     -12.55114174     -13.09813577     -13.10161686     -13.13294986     -13.13424206      -13.14187911      -13.14314651     -13.10276961     -13.08219051        303.2625         1035.1369
 2457139.692750918   -12.57569116     -12.54165173     -13.09815856     -13.10156441     -13.13263067     -13.13423920      -13.14142988      -13.14314842     -13.09794564     -13.08306599        303.2545         1035.1312
 2457139.713188042   -12.57345113     -12.53696918     -13.09806704     -13.10112476     -13.13258166     -13.13404465      -13.14147875      -13.14302444     -13.10228963     -13.08484268        303.2510         1035.1301
 2457139.733623339   -12.57202945     -12.53452301     -13.09802698     -13.10083294     -13.13246827     -13.13406181      -13.14120332      -13.14313507     -13.10319271     -13.08703613        303.2510         1035.1329
 2457139.754052053   -12.57104304     -12.53070450     -13.09826190     -13.10033417     -13.13271596     -13.13394642      -13.14155448      -13.14301014     -13.10323238     -13.08712482        303.2482         1035.1326
 2457139.774479524   -12.57004238     -12.52792263     -13.09795403     -13.09992027     -13.13246664     -13.13389778      -13.14125983      -13.14299393     -13.10246119     -13.08868790        303.2479         1035.1308
 2457139.794915574   -12.57522014     -12.53037548     -13.09812953     -13.09945297     -13.13265724     -13.13385391      -13.14147808      -13.14302349     -13.10619030     -13.08922577        303.2445         1035.1355
 2457139.815352092   -12.57468735     -12.53014565     -13.09786031     -13.09903336     -13.13250691     -13.13369942      -13.14097609      -13.14289284     -13.10635960     -13.09048748        303.2407         1035.1340
 2457139.835781973   -12.56782178     -12.52382851     -13.09769972     -13.09846878     -13.13218994     -13.13346386      -13.14115164      -13.14289093     -13.09998824     -13.09224033        303.2354         1035.1348
