# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            133.69721 / [deg] Right Ascension                         
# DEC_TARG=            11.156498 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-14-id-007230' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 14.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              10.3093 / [mag] Instrumental Kepler magnitude           
# JMAG    =                7.951 / [mag] 2MASS J magnitude                       
# HMAG    =                 7.43 / [mag] 2MASS H magnitude                       
# KMAG    =                7.278 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517   -14.29184749     -14.37291908     -15.42811349     -15.44570065     -15.56798830     -15.57749748      -15.59425391      -15.59472942     -14.80454736     -14.87711048        457.4216          966.3691
 2457139.631459933   -14.28258522     -14.36407089     -15.42828953     -15.44587517     -15.56744029     -15.57695198      -15.59427397      -15.59474945     -14.80556936     -14.87807274        457.4127          966.3671
 2457139.651894818   -14.29235672     -14.36066628     -15.42802716     -15.44509411     -15.56712689     -15.57617950      -15.59421448      -15.59483337     -14.79992134     -14.86990356        457.4038          966.3658
 2457139.672323064   -14.28309787     -14.35147667     -15.42982433     -15.44615173     -15.56688767     -15.57576275      -15.59432051      -15.59494591     -14.79847257     -14.86810112        457.3960          966.3652
 2457139.692750918   -14.26357730     -14.33268929     -15.42717870     -15.44268799     -15.56664180     -15.57516289      -15.59465219      -15.59496403     -14.79756185     -14.86640739        457.3882          966.3602
 2457139.713188042   -14.28083813     -14.32699680     -15.42784116     -15.44298172     -15.56742084     -15.57513142      -15.59394408      -15.59496498     -14.79636676     -14.86862278        457.3850          966.3590
 2457139.733623339   -14.28515709     -14.32953930     -15.43078038     -15.44511986     -15.56762038     -15.57519531      -15.59403568      -15.59497929     -14.79924541     -14.87162209        457.3850          966.3614
 2457139.754052053   -14.28014065     -14.32853794     -15.42889698     -15.44500542     -15.56703871     -15.57525635      -15.59419354      -15.59495926     -14.79406403     -14.87439346        457.3825          966.3610
 2457139.774479524   -14.28053020     -14.32931042     -15.42676530     -15.44294357     -15.56730553     -15.57553387      -15.59397741      -15.59495926     -14.79681098     -14.88037300        457.3823          966.3595
 2457139.794915574   -14.27974175     -14.32641602     -15.42804607     -15.44429970     -15.56675682     -15.57511520      -15.59416353      -15.59495449     -14.80077809     -14.88232994        457.3791          966.3636
 2457139.815352092   -14.28418167     -14.32461357     -15.42946585     -15.44393539     -15.56772196     -15.57493687      -15.59434864      -15.59496975     -14.80809164     -14.88322163        457.3754          966.3622
 2457139.835781973   -14.28133351     -14.32131290     -15.42736091     -15.44319725     -15.56730364     -15.57477474      -15.59451866      -15.59498405     -14.81004840     -14.88671398        457.3704          966.3629
