objid,ra,dec,u,g,r,i,z
1237648721252190846,229.009898031887,-0.145182914781214,23.37158,22.74453,22.07487,22.02924,21.68216
1237648721252189234,229.011469344457,-0.146270014765835,24.89184,22.44633,22.01565,21.7981,21.81029
1237648721252188415,229.004507206886,-0.144396255484886,23.81722,22.9952,22.05928,21.91231,21.67697
1237648721252188414,229.004574763227,-0.146376835382366,24.36162,23.74216,22.89558,21.89263,22.09908
1237648721252188407,229.005111670842,-0.145449106790078,22.08385,21.17217,20.75937,20.6783,20.6871
1237648721252190036,229.007422369323,-0.150949423173843,21.91224,20.70761,20.3439,20.21707,20.07447
1237648721252190037,229.008708759086,-0.151164309683812,21.88499,20.90106,20.59166,20.48633,20.14939
1237648721252190038,229.008519183539,-0.149125977780711,23.546,21.95927,21.55211,21.46487,20.96832
1237648721252189221,229.011156089614,-0.149296579256527,21.52367,20.41903,20.03357,19.90035,19.94165
1237648721252189223,229.01087758681,-0.148240774936681,22.31332,21.45956,21.05594,20.86278,20.87473
1237648721252188403,228.993369789237,-0.145272284579028,21.79537,20.47499,19.98697,19.81328,19.76104
1237648721252188410,228.995095199446,-0.143755153188175,22.9824,21.74645,21.36424,21.1958,21.3136
1237648721252188408,228.99619303913,-0.145109566045715,22.57321,21.41128,21.06653,20.93414,21.14556
1237648721252188409,228.994355278609,-0.145759300238013,23.22535,21.57981,21.12803,20.94607,20.71899
1237648721252188400,228.997987926586,-0.149884926742922,19.05657,17.20993,16.4532,16.12774,15.9429
1237648721252188420,228.998343933424,-0.15147361068794,24.13829,23.31392,23.19333,23.07074,22.62336
1237648721252188587,229.000724028455,-0.143581534320262,24.53172,23.82749,22.64901,22.81327,23.28195
1237648721252188401,229.001327160449,-0.146719984900055,20.80054,18.43483,17.35719,16.95094,16.72078
1237648721252188548,229.008557757789,-0.162673815802232,23.12725,23.26085,21.71792,21.69725,20.82433
1237648721252188551,229.005969684841,-0.163221050499214,23.03921,22.594,22.00677,22.02394,22.24586
1237648721252188556,229.006869354959,-0.162412581141414,24.55258,23.07625,22.93409,22.71202,21.29518
1237648721252188540,229.006833323463,-0.164157018272336,21.47772,20.43785,20.04629,19.8363,19.932
1237648721252190021,229.001846043971,-0.156903688510773,25.27637,23.49831,22.46788,22.47169,21.96279
1237648721252190017,229.004014619756,-0.15564543089131,25.37795,23.13302,21.23083,20.52715,19.90758
1237648721252190016,229.002518016835,-0.155502836025585,22.04386,21.02909,20.81398,20.67705,21.12097
1237648721252190018,229.003429903986,-0.155709918980891,22.39227,21.43124,21.11103,20.97313,20.91979
1237648721252190019,229.004141556735,-0.156857335633511,23.44736,22.09385,21.49962,21.51639,21.3958
1237648721252188534,229.005424680815,-0.1609655645754,18.79678,17.55866,17.20533,17.06309,16.99012
1237648721252188544,229.008755439692,-0.16132503512645,23.25413,22.30676,21.78929,20.77858,21.34435
1237648721252188545,229.007344981302,-0.159920496349991,23.21107,21.73647,21.32771,21.41967,21.11844
1237648721252188549,229.00696952165,-0.158786792316881,24.15364,22.42464,21.94156,21.81127,22.5568
1237648721252188542,229.005460771185,-0.159479401939808,21.65909,25.11443,20.75554,20.67696,21.43131
1237648721252188402,229.002222064989,-0.152066230900592,21.00188,19.76735,19.20007,18.97058,18.84365
1237648721252190039,229.007892810443,-0.151703789281946,25.5558,24.68397,23.57514,22.20933,23.33751
1237648721252190835,229.00616658694,-0.152859003901972,25.11741,22.62372,22.08628,20.72182,19.99319
1237648721252188411,229.003178319149,-0.146066494091177,22.49817,21.73764,21.43663,21.44282,21.67447
1237648721252188404,229.005022329732,-0.148156314759487,21.91147,20.52408,20.10879,20.00699,19.94131
1237648721252188399,229.001168939342,-0.149766565662523,18.22769,16.8234,16.27687,16.05324,15.93971
1237648721252188412,229.003423791192,-0.149702759092415,24.53616,23.18169,22.05827,21.26829,21.05278
1237648721252189820,228.969725181424,-0.143964591983239,22.09447,20.92813,20.48404,20.3552,20.19367
1237648721252189813,228.977840574071,-0.149934583480275,23.09931,21.59484,21.24697,21.07034,21.09178
1237648721252189817,228.976599564814,-0.149665615245218,24.33004,23.94899,22.52392,22.07314,22.10827
1237648721252189816,228.977285151312,-0.150490727039283,24.15538,22.80662,22.45307,22.26343,22.08544
1237648721252189814,228.974318529933,-0.150721130718441,22.66596,21.81553,21.51647,21.34094,21.92601
1237648721252189810,228.976100938811,-0.150589647728254,22.07341,21.20286,20.87185,20.80637,20.79646
1237648721252189879,228.977728040451,-0.144669167806995,24.6716,22.71988,22.48517,22.28177,23.11936
1237648721252189875,228.978231482076,-0.145411849816898,23.40616,21.89869,21.42769,21.45281,21.42619
1237648721252191286,228.975867747851,-0.146325906990789,24.60598,24.16478,22.66659,23.11713,22.49549
1237648721252189923,228.985393942166,-0.158021045803018,25.0322,23.2525,22.55506,22.45199,22.46621
1237648721252190757,228.987312341513,-0.15790479852151,23.2274,23.12004,22.89849,22.76713,22.18764
1237648721252191294,228.982572888255,-0.156283013835221,24.00374,23.46695,22.67852,23.05231,23.08135
1237648721252191295,228.98340434406,-0.158443281909434,25.49906,23.45248,22.72101,23.02317,23.0326
1237648721252189052,228.987773926857,-0.144908293322491,22.41046,21.10316,20.73853,20.70264,20.56923
1237648721252189053,228.989183374495,-0.147790889905899,24.39231,24.74513,23.59082,23.82037,22.93021
1237648721252189913,228.984571164098,-0.146469230962594,22.42714,21.42971,21.05126,20.96066,21.26375
1237648721252189020,228.988100313743,-0.152892927992255,22.33973,22.08135,21.92751,21.68572,20.84892
1237648721252189051,228.987718850014,-0.147210755283417,19.99908,18.48181,17.84873,17.58263,17.40454
1237648721252189914,228.985175280948,-0.146159249098404,23.40472,22.25681,21.99009,21.81328,22.18605
1237648721252189912,228.985375214642,-0.144966844608841,21.60335,20.51836,20.03063,19.89686,19.76565
1237648721252189018,228.985446994175,-0.151761093034672,22.01622,21.20439,20.87013,20.81114,20.51247
1237648721252189021,228.98150590693,-0.149262382085352,24.46767,22.10368,21.80366,21.45451,22.56606
1237648721252189023,228.981118077824,-0.148755175218889,23.89649,23.30282,22.12066,22.72085,22.31217
1237648721252189019,228.982709944022,-0.149760742520302,24.21775,21.95792,21.57542,21.57059,20.89896
1237648721252189015,228.983500597684,-0.152256518041362,21.22323,20.22308,19.77872,19.59535,19.6418
1237648721252189017,228.981451620463,-0.152142596979362,22.24372,21.17348,20.81685,20.80684,20.80706
1237648721252189016,228.981558504861,-0.151385492195327,21.80079,21.00226,20.59124,20.51849,20.53552
1237648721252188416,228.990838664243,-0.14588395279666,24.40837,22.83282,22.53642,22.29102,21.95283
1237648721252188406,228.991757627484,-0.145217353038479,22.12814,21.08316,20.78072,20.66116,20.73595
1237648721252188547,228.992701893669,-0.153504818576441,23.36907,21.9485,21.55291,21.51502,21.38646
1237648721252188557,228.992450125047,-0.155200891800089,24.62547,23.52098,22.8261,22.3685,22.54956
1237648721252189022,228.989299891981,-0.151905448183742,23.76865,22.3144,21.78762,21.83826,21.88796
1237648721252190774,228.990779879791,-0.154051606527208,23.62176,21.90816,21.4294,21.37462,21.62038
1237648721252190789,228.995296956654,-0.153797030463769,23.92779,22.70792,22.32999,22.08934,21.37438
1237648721252190794,228.997053460164,-0.153885123474699,23.63276,23.2134,22.35799,22.36214,22.34096
1237648721252189952,228.992206141025,-0.149610941398158,22.49776,21.8125,21.34734,21.24852,21.06327
1237648721252190786,228.993246984421,-0.151382828204539,23.46895,22.40003,21.94449,21.64264,21.71348
1237648721252189077,228.992735697112,-0.162919234000567,19.58178,18.01272,17.3338,17.03494,16.86136
1237648721252190764,228.990065290641,-0.157792338980781,23.70425,22.42217,21.96641,21.87385,21.47363
1237648721252190771,228.990321639832,-0.160306094966453,23.52192,21.95655,21.69967,21.50143,21.02904
1237648721252188555,229.004885605763,-0.165128876044104,23.86146,22.82903,22.26608,22.28758,22.38035
1237648721252190020,229.00037226832,-0.156583372195379,24.62059,22.07266,21.64891,21.84845,21.12024
1237648721252188537,228.999009711916,-0.158971341676449,21.89503,20.32156,19.79,19.5476,19.34743
1237648721252188541,229.000930756572,-0.160509986502883,21.97967,20.45689,20.04867,19.75873,19.72598
1237648721252189995,228.998877702633,-0.164792999933407,23.49126,22.47816,22.10303,21.93966,21.62578
1237648721252189078,228.993172890567,-0.161592848316034,24.48965,23.9152,21.54455,20.67071,20.22303
1237648721252189080,228.994275374623,-0.162589303107529,24.50748,24.79436,22.41059,21.49604,21.73158
1237648721252189996,228.997393758002,-0.164142531278877,24.4562,24.62976,22.61595,23.33521,22.48758
1237648721252188546,228.996431546196,-0.157650393061518,24.00814,21.953,21.52538,22.18679,21.86955
1237648721252188543,228.997787774175,-0.15716217872767,22.06434,21.19238,20.84046,20.6749,20.62992
1237648721252188501,229.018200507001,-0.096755221877848,21.71325,20.62919,20.3285,20.17706,20.11301
1237648721252189136,229.002139593127,-0.0965858340943516,22.73888,21.20473,20.94147,20.85341,20.89472
1237648721252189134,229.005024023052,-0.10093667739324,21.71142,20.59093,20.19334,19.96915,20.05124
1237648721252189132,229.005521380473,-0.0996628175559234,21.36761,20.37279,20.0044,19.90581,19.85583
1237648721252189142,229.005211971093,-0.0971786811409711,24.47536,23.41794,22.72671,22.44145,22.33006
1237648721252188446,229.007611680717,-0.102165092318523,23.40483,20.85736,19.40081,18.5972,18.16632
1237648721252189187,229.00722705423,-0.0958222464511881,23.53829,21.87653,21.51751,21.40077,21.00049
1237648721252189192,229.008736937227,-0.0970704140609518,24.91176,24.03745,22.67914,22.72646,22.44661
1237648721252189189,229.009269386927,-0.0957018665445302,24.64207,22.64395,22.05235,22.15305,23.10184
1237648721252189139,229.006139960685,-0.0992036885095056,23.96953,22.31311,21.79275,21.58211,21.21316
1237648721252188439,229.020030650281,-0.107673734119132,19.8791,18.41171,17.77111,17.49588,17.37336
1237648721252188507,229.013559888712,-0.10862238792514,22.10737,20.8186,20.50322,20.37295,20.43144
1237648721252188450,229.012422394403,-0.110102513153167,21.29293,19.94674,19.35245,19.13715,19.10058
1237648721252188500,229.01511271838,-0.112878955938334,21.57971,20.55147,20.18557,20.0124,20.28092
1237648721252190097,229.016960789902,-0.104750278835425,22.49967,21.41691,21.12943,21.02588,21.04248
1237648721252188447,229.014144487801,-0.103697423489902,25.03814,21.51457,19.98894,18.79807,18.1713
1237648721252190720,228.981858006073,-0.0990194864349575,24.93345,22.03622,21.69074,21.74572,22.07243
1237648721252189937,228.988110292427,-0.103260793065104,22.37816,20.7886,20.28958,20.00196,19.83488
1237648721252188329,228.983784635376,-0.101605629850819,18.62211,16.41875,15.52372,15.15689,14.93262
1237648721252189938,228.986311302659,-0.104044289232189,23.29795,21.64322,21.20807,21.20988,21.03246
1237648721252188334,228.986452677737,-0.100121015305413,22.47724,21.52674,21.20313,20.92298,20.69001
1237648721252188333,228.985928528751,-0.0992404416300892,22.28295,21.32488,21.00296,20.88352,21.30084
1237648721252189122,228.997041914622,-0.109417734370167,21.91941,19.42344,18.01275,17.29386,16.89062
1237648721252189064,228.989410320665,-0.108079097897467,24.36896,23.77015,23.6763,22.60607,22.62546
1237648721252189062,228.990238673542,-0.110566232460743,23.47906,22.44615,21.98911,21.68415,22.16146
1237648721252189065,228.990261553351,-0.109049290411174,25.39066,23.31977,22.84426,22.85716,22.38286
