Star Name,Apparent Magnitude,Absolute Magnitude,b-v
Sun,-26.8,4.8,0.63
Sirius,-1.46,1.4,0
Canopus,-0.72,-2.5,0.15
Arcturus,-0.04,0.2,1.23
Alpha Centauri,-0.01,4.4,0.71
Vega,0,0.6,0
Capella,0.08,0.4,0.08
Rigel,0.12,-8.1,-0.03
Procyon,0.38,2.6,0.42
Betelgeuse,0.41,-7.2,1.85
Achernar,0.46,-1.3,-0.16
Hadar,0.63,-4.4,-0.23
Acrux,0.76,-4.6,-0.24
Altair,0.77,2.3,0.22
Aldebaran,0.85,-0.3,1.54
Antares,0.92,-5.2,1.83
Spica,1,-3.2,-0.23
Pollux,1.14,0.7,1
Formalhaut,1.16,2,0.09
Becrux,1.2,-4.7,-0.23
Deneb,1.25,-7.2,0.09
Regulus,1.35,-0.3,-0.11
Adhara,1.5,-4.8,-0.21
Shaula,1.6,-3.5,-0.22
Gacrux,1.63,-1.2,1.59
Castor,1.98,0.5,0.03
