hip,ra,dec,radeg,decdeg
1,00 00 00.22,+01 05 20.4,0.001,1.089
2,00 00 00.91,-19 29 55.8,0.004,-19.499
3,00 00 01.20,+38 51 33.4,0.005,38.859
4,00 00 02.01,-51 53 36.8,0.008,-51.894
5,00 00 02.39,-40 35 28.4,0.01,-40.591
6,00 00 04.35,+03 56 47.4,0.018,3.947
7,00 00 05.41,+20 02 11.8,0.023,20.037
8,00 00 06.55,+25 53 11.3,0.027,25.886
9,00 00 08.48,+36 35 09.4,0.035,36.586
10,00 00 08.70,-50 52 01.5,0.036,-50.867
11,00 00 08.95,+46 56 24.0,0.037,46.94
12,00 00 09.82,-35 57 36.8,0.041,-35.96
13,00 00 10.00,-22 35 40.9,0.042,-22.595
14,00 00 11.59,-00 21 37.5,0.048,-0.36
15,00 00 12.07,+50 47 28.2,0.05,50.791
∗16,00 00 12.34,-54 54 50.9,0.051,-54.914
∗17,00 00 12.26,-40 11 32.4,0.051,-40.192
18,00 00 12.75,-04 03 13.5,0.053,-4.054
19,00 00 12.80,+38 18 14.7,0.053,38.304
20,00 00 15.11,+23 31 45.4,0.063,23.529
21,00 00 15.90,+08 00 26.0,0.066,8.007
22,00 00 16.83,-49 21 08.2,0.07,-49.352
23,00 00 17.86,+13 18 44.0,0.074,13.312
24,00 00 18.25,-23 27 09.9,0.076,-23.453
25,00 00 19.05,-44 17 25.1,0.079,-44.29
26,00 00 20.24,-13 23 35.9,0.084,-13.393
27,00 00 20.51,-41 17 51.1,0.085,-41.298
28,00 00 20.94,-43 21 42.5,0.087,-43.362
29,00 00 22.11,-49 06 28.6,0.092,-49.108
30,00 00 23.07,+42 08 29.4,0.096,42.142
31,00 00 23.54,+02 40 31.7,0.098,2.675
32,00 00 23.66,+51 56 22.2,0.099,51.939
33,00 00 23.80,-10 27 44.8,0.099,-10.462
34,00 00 23.87,+26 55 05.7,0.099,26.918
35,00 00 24.61,-14 29 25.7,0.103,-14.49
36,00 00 24.79,+12 16 01.5,0.103,12.267
37,00 00 25.28,-47 10 46.5,0.105,-47.18
38,00 00 26.65,-79 03 42.6,0.111,-79.062
39,00 00 26.85,-16 41 48.9,0.112,-16.697
∗40,00 00 29.27,+67 13 00.4,0.122,67.217
∗41,00 00 27.98,+54 18 08.1,0.117,54.302
42,00 00 30.09,+25 50 41.2,0.125,25.845
43,00 00 30.98,+59 33 35.1,0.129,59.56
44,00 00 31.85,-03 18 22.9,0.133,-3.306
45,00 00 32.21,-72 12 09.8,0.134,-72.203
46,00 00 32.29,-25 37 20.1,0.135,-25.622
47,00 00 32.45,-56 50 06.9,0.135,-56.835
48,00 00 32.45,-40 41 25.6,0.135,-40.69
49,00 00 33.48,+16 40 08.5,0.139,16.669
50,00 00 34.29,-53 05 51.6,0.143,-53.098
51,00 00 34.41,+01 03 58.3,0.143,1.066
52,00 00 35.20,-77 01 12.5,0.147,-77.02
53,00 00 35.37,-29 15 48.2,0.147,-29.263
54,00 00 36.40,+17 58 08.2,0.152,17.969
55,00 00 37.88,-66 40 59.2,0.158,-66.683
56,00 00 39.08,+00 13 22.6,0.163,0.223
57,00 00 40.39,-69 40 32.9,0.168,-69.676
58,00 00 41.70,+62 10 33.6,0.174,62.176
59,00 00 41.87,+55 43 20.9,0.174,55.722
60,00 00 42.10,-64 27 57.0,0.175,-64.466
61,00 00 42.28,+53 49 19.9,0.176,53.822
62,00 00 43.19,-45 25 21.8,0.18,-45.423
63,00 00 43.62,+45 15 12.0,0.182,45.253
64,00 00 44.30,-27 54 27.2,0.185,-27.908
65,00 00 45.11,-54 49 49.2,0.188,-54.83
66,00 00 45.25,-72 19 05.7,0.189,-72.318
67,00 00 47.78,+23 32 17.7,0.199,23.538
68,00 00 48.15,+16 59 20.3,0.201,16.989
69,00 00 48.33,+30 23 45.2,0.201,30.396
70,00 00 48.67,+36 46 39.5,0.203,36.778
71,00 00 49.70,+36 46 48.6,0.207,36.78
72,00 00 52.67,-12 49 43.2,0.219,-12.829
73,00 00 52.91,+66 50 52.7,0.22,66.848
74,00 00 53.25,+35 45 09.8,0.222,35.753
75,00 00 53.56,-50 26 47.3,0.223,-50.446
76,00 00 54.77,+32 49 32.4,0.228,32.826
77,00 00 55.33,-30 03 51.0,0.231,-30.064
