objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252189230,756,301,3,756,1070,3,229.012274528637,-0.144185070251919,22.80911,21.9795,21.44439,21.15578,22.04015,0.2807618,0.06673541,0.06450909,0.07426655,0.5426408
1237648721252190846,756,301,3,756,2686,6,229.009898031887,-0.145182914781214,23.37158,22.74453,22.07487,22.02924,21.68216,0.4346888,0.1259127,0.1108021,0.1587522,0.4339267
1237648721252189234,756,301,3,756,1074,6,229.011469344457,-0.146270014765835,24.89184,22.44633,22.01565,21.7981,21.81029,0.6566145,0.09223661,0.09848304,0.1206742,0.4360492
1237648721252188415,756,301,3,756,255,6,229.004507206886,-0.144396255484886,23.81722,22.9952,22.05928,21.91231,21.67697,0.5915928,0.1604318,0.1122436,0.1472438,0.4428098
1237648721252188414,756,301,3,756,254,6,229.004574763227,-0.146376835382366,24.36162,23.74216,22.89558,21.89263,22.09908,0.6784339,0.2665409,0.2110347,0.1319606,0.5207114
1237648721252188407,756,301,3,756,247,6,229.005111670842,-0.145449106790078,22.08385,21.17217,20.75937,20.6783,20.6871,0.1499236,0.03358922,0.03490528,0.04660577,0.1820213
1237648721252190036,756,301,3,756,1876,6,229.007422369323,-0.150949423173843,21.91224,20.70761,20.3439,20.21707,20.07447,0.1334136,0.02465236,0.02603721,0.03320484,0.1116863
1237648721252190037,756,301,3,756,1877,6,229.008708759086,-0.151164309683812,21.88499,20.90106,20.59166,20.48633,20.14939,0.1272739,0.02766833,0.03053365,0.03976265,0.1146819
1237648721252190038,756,301,3,756,1878,6,229.008519183539,-0.149125977780711,23.546,21.95927,21.55211,21.46487,20.96832,0.4634666,0.06177625,0.06653772,0.0905374,0.2312221
1237648721252189221,756,301,3,756,1061,6,229.011156089614,-0.149296579256527,21.52367,20.41903,20.03357,19.90035,19.94165,0.1001902,0.0204663,0.02091598,0.02602627,0.1016029
1237648721252189223,756,301,3,756,1063,6,229.01087758681,-0.148240774936681,22.31332,21.45956,21.05594,20.86278,20.87473,0.1827961,0.04259521,0.04475454,0.05478345,0.2130297
1237648721252188403,756,301,3,756,243,6,228.993369789237,-0.145272284579028,21.79537,20.47499,19.98697,19.81328,19.76104,0.1185391,0.02081159,0.01956383,0.02342259,0.08279711
1237648721252188410,756,301,3,756,250,6,228.995095199446,-0.143755153188175,22.9824,21.74645,21.36424,21.1958,21.3136,0.3118127,0.05267556,0.05709567,0.07214738,0.305339
1237648721252188408,756,301,3,756,248,6,228.99619303913,-0.145109566045715,22.57321,21.41128,21.06653,20.93414,21.14556,0.2278617,0.04170937,0.04596309,0.05987455,0.2750438
1237648721252188419,756,301,3,756,259,3,228.993959865822,-0.143682029617585,23.67466,24.18524,22.74828,23.65083,22.93252,0.5673476,0.4174976,0.2134355,0.5908155,0.7364913
1237648721252188409,756,301,3,756,249,6,228.994355278609,-0.145759300238013,23.22535,21.57981,21.12803,20.94607,20.71899,0.3782506,0.04763386,0.04865402,0.06103306,0.1952996
1237648721252188400,756,301,3,756,240,6,228.997987926586,-0.149884926742922,19.05657,17.20993,16.4532,16.12774,15.9429,0.01873597,0.004470598,0.004004977,0.004148751,0.006640583
1237648721252188420,756,301,3,756,260,6,228.998343933424,-0.15147361068794,24.13829,23.31392,23.19333,23.07074,22.62336,0.6468583,0.194393,0.2736083,0.3562289,0.6409767
1237648721252188587,756,301,3,756,427,6,229.000724028455,-0.143581534320262,24.53172,23.82749,22.64901,22.81327,23.28195,0.692751,0.2857487,0.17199,0.286546,0.5804869
1237648721252188401,756,301,3,756,241,6,229.001327160449,-0.146719984900055,20.80054,18.43483,17.35719,16.95094,16.72078,0.05618833,0.006754505,0.004963357,0.005011142,0.009575208
1237648721252188413,756,301,3,756,253,3,228.999257978897,-0.145815983975569,24.77652,22.80265,21.92034,21.69928,21.3546,0.7419778,0.1368295,0.1006552,0.1243117,0.3527189
1237648721252188418,756,301,3,756,258,3,228.996333720853,-0.148444890618204,24.60826,23.17418,22.72733,23.63159,22.36386,0.7877443,0.194074,0.210716,0.5915791,0.686128
