,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
0,16618,03 33 49.29,+21 01 10.6,10.28,0.00043,1.551,2.13,2325.5813953488373,-1.5526577221020634
1,16635,03 34 01.79,+24 52 51.6,10.87,0.00962,0.7040000000000001,0.75,103.95010395010395,5.785875360189065
2,16639,03 34 07.30,+24 20 40.4,9.54,0.00811,0.51,0.58,123.30456226880396,4.085104271055782
3,16643,03 34 08.75,+21 43 44.4,9.22,0.00633,0.34700000000000003,0.41,157.97788309636653,3.227018550086777
4,16659,03 34 20.21,+23 09 00.4,9.76,0.00422,1.15,1.11,236.96682464454977,2.8865622548083714
5,16664,03 34 26.62,+24 27 52.1,5.95,0.00628,0.12300000000000001,0.14,159.23566878980893,-0.060201781314019875
6,16668,03 34 30.29,+22 45 34.1,8.22,0.00483,1.249,1.21,207.0393374741201,1.6397356537575636
7,16703,03 34 57.44,+21 01 03.6,8.6,0.00268,1.429,1.42,373.13432835820896,0.7406739701439449
8,16704,03 34 57.55,+26 36 29.8,8.4,0.00774,0.336,0.39,129.19896640826872,2.8437048034144627
9,16740,03 35 20.40,+26 51 00.7,8.56,0.00522,0.7,0.51,191.57088122605364,2.1483525150113127
10,16740,03 35 20.40,+26 51 00.7,8.56,0.00522,0.7,0.51,191.57088122605364,2.1483525150113127
11,16753,03 35 31.68,+22 49 25.3,9.86,0.009980000000000001,0.54,0.61,100.2004008016032,4.855652706436857
12,16784,03 35 59.99,+23 54 50.9,9.02,0.0038,1.337,1.3,263.1578947368421,1.918917983084052
13,16791,03 36 04.87,+27 35 35.5,7.39,0.00843,1.092,1.05,118.62396204033215,2.0191378731237117
14,16805,03 36 19.66,+25 23 56.5,9.27,0.005030000000000001,0.405,0.47,198.80715705765405,2.777839925279638
15,16824,03 36 28.77,+23 47 51.2,8.62,0.01566,0.669,0.73,63.85696040868454,4.593958788609623
16,16828,03 36 30.24,+21 46 48.7,8.89,0.00279,1.054,1.02,358.4229390681004,1.1180210163679867
17,16859,03 36 58.03,+23 12 40.0,6.72,0.00746,0.12300000000000001,0.14,134.04825737265415,1.083694137363346
18,16879,03 37 10.88,+25 59 30.3,7.28,0.02678,0.7040000000000001,0.75,37.3412994772218,4.419052863379951
19,16908,03 37 34.89,+21 20 35.7,9.35,0.02523,0.917,0.96,39.635354736424894,6.3595862525878735
20,16979,03 38 22.57,+22 29 59.2,10.09,0.005860000000000001,0.634,0.7,170.6484641638225,3.9294880800904544
21,16996,03 38 35.90,+24 36 06.1,8.22,0.00821,0.428,0.5,121.8026796589525,2.791715785597207
22,17000,03 38 40.71,+22 39 35.0,6.71,0.00788,-0.001,0.02,126.90355329949239,1.1926310874477766
23,17020,03 38 56.85,+24 34 11.7,10.53,0.0032,0.645,0.71,312.5,3.055749891599529
24,17026,03 39 00.06,+20 54 57.1,6.5,0.0066,0.151,0.19,151.51515151515153,0.5977196777093443
25,17034,03 39 06.71,+24 42 10.7,7.11,0.00687,0.039,0.05,145.56040756914118,1.2947836852977561
26,17037,03 39 07.41,+25 09 24.6,9.07,0.00362,0.22399999999999998,0.25,276.24309392265195,1.863542852665832
27,17043,03 39 13.19,+21 50 36.1,7.27,0.0077800000000000005,0.068,0.08,128.53470437017995,1.7248979849484467
28,17044,03 39 13.46,+24 27 59.9,10.4,0.00885,0.616,0.68,112.99435028248587,5.1347163534891305
29,17091,03 39 41.16,+23 17 27.6,9.94,0.009970000000000001,0.608,0.68,100.30090270812435,4.933475791558282
30,17134,03 40 09.97,+26 57 38.0,8.33,0.00348,1.046,1.1,287.35632183908046,1.0378962197329056
31,17140,03 40 13.92,+26 53 14.8,8.23,0.0018700000000000001,0.26899999999999996,0.3,534.75935828877,-0.410791967317504
32,17148,03 40 21.58,+21 24 20.6,7.16,0.01188,0.311,0.36,84.17508417508418,2.534082203225875
33,17181,03 40 46.30,+25 19 46.3,6.11,0.00624,0.09699999999999999,0.11,160.25641025641025,0.08592294841212134
34,17225,03 41 22.95,+23 29 13.4,9.17,0.009210000000000001,0.43700000000000006,0.51,108.57763300760043,3.991298150984246
35,17245,03 41 36.15,+25 37 10.0,10.1,0.00591,0.589,0.66,169.2047377326565,3.9579374044062767
36,17289,03 42 04.71,+22 51 31.2,9.17,0.00729,0.46299999999999997,0.53,137.17421124828533,3.4836376415898744
37,17305,03 42 15.91,+22 47 11.9,7.4,0.018789999999999998,0.428,0.5,53.2197977647685,3.769633900502628
38,17316,03 42 23.98,+21 28 25.0,9.85,0.00628,0.55,0.62,159.23566878980893,3.8397982186859796
39,17317,03 42 24.01,+22 25 16.5,10.4,0.00666,0.7,0.75,150.15015015015015,4.517371145851508
40,17324,03 42 29.72,+26 34 20.3,8.13,0.00146,1.341,1.31,684.9315068493152,-1.0482357210778144
41,17340,03 42 41.16,+21 16 53.9,7.91,0.00802,0.624,0.69,124.68827930174565,2.430871841420819
42,17401,03 43 41.52,+23 38 57.3,7.93,0.00948,0.34700000000000003,0.41,105.48523206751054,2.8140416866903326
43,17403,03 43 43.18,+25 04 51.0,7.52,0.01001,0.141,0.16,99.9000999000999,2.522170387396592
44,17407,03 43 46.03,+26 22 52.2,7.35,0.00404,1.16,1.12,247.5247524752475,0.3819068255530258
45,17453,03 44 28.19,+20 55 43.6,6.09,0.01339,0.027999999999999997,0.04,74.6825989544436,1.7239028850600473
