,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
0,15487,03 19 37.58,+27 32 33.3,7.91,3.375e-08,0.16899999999999998,0.18,29629629.629629627,-24.44863111416478
1,15506,03 19 47.76,+19 04 34.6,7.43,7.08e-09,-0.047,-0.03,141242937.85310733,-28.319833711551148
2,15509,03 19 52.21,+20 16 37.9,8.35,2.3799999999999996e-09,0.27,0.3,420168067.2268908,-29.76711521471743
3,15512,03 19 55.44,+25 36 53.8,9.56,3.6e-09,1.4480000000000002,1.82,277777777.7777778,-27.65848749616356
4,15513,03 19 55.66,+21 30 59.4,8.76,3.7921e-07,0.655,0.72,2637061.258933045,-18.34560109285715
5,15514,03 19 55.81,+27 04 16.7,5.91,,0.86,0.88,,
6,15519,03 19 59.22,+17 30 03.1,7.77,,0.335,0.39,,
7,15549,03 20 20.37,+29 02 54.6,4.47,,1.555,1.61,,
8,15550,03 20 20.63,+19 43 49.4,7.6,,0.188,0.21,,
9,15552,03 20 21.23,+23 41 21.9,7.46,,0.27899999999999997,0.32,,
10,15555,03 20 23.32,+19 52 21.8,6.9,,1.2229999999999999,1.18,,
11,15557,03 20 25.57,+25 39 46.7,6.14,,1.2409999999999999,1.2,,
12,15560,03 20 26.82,+24 32 35.6,7.31,,1.209,1.17,,
13,15562,03 20 28.92,+22 24 56.8,13.63,,0.8,0.83,,
14,15566,03 20 34.14,+19 10 49.5,8.28,,0.184,0.2,,
15,15575,03 20 38.30,+26 55 38.5,7.75,,1.185,1.15,,
16,15576,03 20 39.66,+28 49 36.0,8.43,,0.56,0.63,,
17,15586,03 20 45.72,+23 11 02.4,8.48,,0.392,0.46,,
18,15588,03 20 46.48,+18 44 14.7,8.63,,1.069,1.03,,
19,15597,03 20 51.46,+20 30 34.1,6.78,,1.168,1.13,,
20,15608,03 20 58.95,+20 38 49.4,8.7,,1.6119999999999999,2.24,,
21,15612,03 21 01.27,+19 28 35.0,7.96,,0.594,0.66,,
22,15627,03 21 13.61,+21 08 49.7,5.27,,-0.067,-0.04,,
23,15636,03 21 19.31,+30 45 58.4,8.79,,0.273,0.31,,
24,15637,03 21 19.79,+30 16 40.8,8.27,,1.0859999999999999,1.05,,
25,15640,03 21 21.79,+23 00 28.2,9.81,,0.58,0.65,,
26,15651,03 21 29.75,+21 26 19.2,9.19,,0.349,0.41,,
27,15683,03 22 02.21,+17 14 25.4,10.9,,0.99,1.03,,
28,15696,03 22 11.89,+27 36 27.3,5.55,,1.1,1.06,,
29,15713,03 22 24.52,+28 21 21.2,10.51,,0.429,0.5,,
30,15720,03 22 27.99,+27 09 22.4,11.03,,1.431,1.75,,
31,15723,03 22 31.61,+22 48 35.8,8.65,,1.482,1.5,,
32,15724,03 22 32.55,+17 43 31.5,8.83,,0.882,0.89,,
33,15737,03 22 45.27,+20 44 31.6,5.1,,1.2309999999999999,1.22,,
34,15744,03 22 51.80,+29 49 06.5,8.53,,0.264,0.3,,
35,15744,03 22 51.80,+29 49 06.5,8.53,,0.264,0.3,,
36,15760,03 23 04.93,+26 54 03.5,7.23,,0.18,0.2,,
37,15766,03 23 11.30,+21 34 04.8,9.28,,0.524,0.6,,
38,15781,03 23 23.91,+30 59 02.6,7.38,,1.185,1.15,,
39,15789,03 23 29.96,+30 26 20.7,8.37,,0.272,0.31,,
40,15794,03 23 32.60,+27 24 07.1,8.29,,0.17600000000000002,0.19,,
41,15808,03 23 39.55,+18 33 20.8,8.94,,0.972,0.96,,
42,15838,03 24 00.90,+19 54 25.4,6.83,,1.63,1.64,,
43,15844,03 24 06.34,+23 47 07.2,10.38,,1.51,2.15,,
44,15854,03 24 14.31,+17 32 59.0,8.1,,,,,
45,15861,03 24 18.46,+24 43 27.1,5.5,,1.19,1.08,,
46,15870,03 24 26.11,+20 48 12.6,6.07,,-0.027999999999999997,-0.01,,
47,15882,03 24 34.47,+22 02 25.3,6.91,,0.11,0.12,,
48,15885,03 24 36.29,+27 56 30.6,8.6,,1.507,1.88,,
49,15902,03 24 48.96,+28 39 09.7,7.12,,0.132,0.15,,
50,15908,03 24 51.67,+22 16 41.7,8.92,,1.2819999999999998,1.24,,
51,15939,03 25 14.03,+21 12 50.8,7.95,,1.844,2.79,,
52,15954,03 25 24.19,+17 44 38.4,8.69,,0.667,0.73,,
53,15958,03 25 25.26,+25 57 08.0,9.36,,1.083,1.05,,
54,15961,03 25 30.83,+17 08 34.0,9.43,,0.7,0.75,,
55,15980,03 25 47.94,+25 52 15.9,8.47,,0.556,0.63,,
56,15984,03 25 50.10,+30 55 54.2,9.21,,0.34,0.4,,
57,15996,03 26 03.32,+20 14 44.1,8.54,,0.4,0.43,,
58,16042,03 26 35.36,+28 42 55.2,6.47,,0.882,0.89,,
59,16071,03 26 59.38,+24 49 25.5,8.0,,1.568,1.59,,
60,16072,03 26 59.61,+23 46 38.9,10.81,,0.544,0.62,,
61,16074,03 27 01.48,+24 19 37.8,10.27,,1.137,1.1,,
62,16077,03 27 03.20,+18 45 23.6,6.54,,0.188,0.21,,
63,16090,03 27 14.41,+27 23 09.2,11.78,,1.476,1.93,,
64,16109,03 27 32.07,+19 11 14.3,9.17,,0.624,0.69,,
65,16119,03 27 39.41,+22 53 52.4,10.97,,0.732,0.78,,
66,16132,03 27 49.60,+24 10 58.1,7.85,,1.09,1.05,,
67,16133,03 27 51.22,+20 55 30.8,7.85,,1.129,1.09,,
68,16136,03 27 55.30,+18 52 56.9,8.46,,0.568,0.64,,
69,16143,03 28 01.40,+20 27 51.4,6.72,,0.47100000000000003,0.46,,
70,16144,03 28 02.11,+22 01 25.9,11.41,,1.411,1.7,,
71,16150,03 28 08.43,+17 09 45.8,11.76,,,,,
72,16150,03 28 08.43,+17 09 45.8,11.76,,,,,
73,16164,03 28 17.39,+29 52 07.2,9.65,,0.28300000000000003,0.32,,
74,16170,03 28 20.90,+29 47 57.3,9.16,,0.53,0.6,,
75,16171,03 28 21.28,+26 16 14.7,7.53,,1.212,1.17,,
