"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2019 GM1)","2","27.0","6.9 - 31","6","4.513, 362","11.862, 66","5947708","2020-03 [22.9]","2020-04 [320]","2040-03 [16]","bK19G01M"
"(2000 SG344)","16","24.7","20 - 89","3","3.549, 370","11.402, 34","3302683","2028-04 [19.1]","2028-05 [3.e3]","2028-05 [58]","bK00SY4G"
"469219 Kamo`oalewa (2016 HO3)","25","24.3","24 - 107","0","6.108, 362","11.969, 154","3162138","2020-03 [22.2]","none","none","a0469219"
"(2006 RH120)","50","29.5","2.2 - 10","1","3.969, 450","11.410, 26","2498249","2028-06 [23.7]","none","none","bK06RC0H"
"(2020 CD3)","5","31.7","0.80 - 3.6","4","3.571, 378","9.358, 18","2240076","2020-03 [23.5]","2020-03 [450]","none","bK20C03D"
"(2018 PN22)","4","27.5","5.5 - 25","3","4.198, 370","11.696, 50","2082848","none","none","none","bK18P22N"
"(2008 JL24)","13","29.6","2.1 - 9.4","4","4.096, 354","11.847, 50","1986606","? 2043-11 [23.4] ?","none","none","bK08J24L"
"(2008 UA202)","7","29.4","2.3 - 10","6","3.988, 346","11.429, 26","1864900","? 2029-10 [22.7] ?","none","none","bK08UK2A"
"(2012 TF79)","14","27.4","5.8 - 26","5","4.374, 386","11.695, 42","1849207","? 2026-11 [20.9] ?","none","none","bK12T79F"
"(2011 UD21)","14","28.5","3.5 - 16","4","4.035, 362","10.937, 34","1798023","2042-12 [23.1]","none","none","bK11U21D"
"(2010 JW34)","9","28.1","4.2 - 19","4","4.030, 362","11.289, 26","1720328","? 2045-04 [18.7] ?","none","none","bK10J34W"
"(2001 FR85)","12","24.8","19 - 85","3","4.274, 370","11.536, 58","1681590","2038-10 [21.1]","2039-03 [98]","none","bK01F85R"
"(2006 BZ147)","12","25.4","14 - 65","3","4.091, 362","11.688, 66","1674273","2034-12 [19.5]","2035-02 [1500]","2035-02 [40]","bK06BE7Z"
